Wall time,Step,Value
1590638244.9913146,1,0.44157999753952026
1590638444.2185721,2,0.586359977722168
1590638646.4680076,3,0.6636800169944763
1590638845.1350005,4,0.6764600276947021
1590639043.8403118,5,0.7666000127792358
1590639241.3691294,6,0.7979599833488464
1590639437.732945,7,0.8287000060081482
1590639635.7368965,8,0.8420199751853943
1590639832.5658114,9,0.8407800197601318
1590640030.5610049,10,0.8248400092124939
1590640228.2860909,11,0.8080800175666809
1590640428.3751419,12,0.8006799817085266
1590640627.8924673,13,0.8578600287437439
1590640823.9760985,14,0.8554400205612183
1590641020.753673,15,0.8355600237846375
1590641217.843664,16,0.8974999785423279
1590641417.0648432,17,0.8719199895858765
1590641614.4339228,18,0.8448799848556519
1590641813.8458498,19,0.9185000061988831
1590642015.7345867,20,0.919920027256012
1590642212.06923,21,0.8788400292396545
1590642407.9926748,22,0.8841599822044373
1590642605.616575,23,0.9475600123405457
1590642804.5356302,24,0.9128999710083008
1590643005.3423073,25,0.8982800245285034
1590643204.32824,26,0.9204199910163879
1590643402.1982322,27,0.9223200082778931
1590643600.5161576,28,0.9513000249862671
1590643800.226295,29,0.9219599962234497
1590644000.1148672,30,0.9330000281333923
1590644196.4758523,31,0.9508399963378906
1590644395.296258,32,0.9302399754524231
1590644594.8113842,33,0.9496399760246277
1590644792.568971,34,0.949400007724762
1590644989.2093458,35,0.9589599967002869
1590645185.9914293,36,0.9672999978065491
1590645384.1206033,37,0.9557999968528748
1590645586.5140846,38,0.9520800113677979
1590645786.8797174,39,0.9505199790000916
1590645986.5372982,40,0.9473599791526794
1590646190.2838693,41,0.9475600123405457
1590646390.8108172,42,0.9721999764442444
1590646590.7997692,43,0.9524400234222412
1590646790.3397703,44,0.9165800213813782
1590646988.2261655,45,0.9409000277519226
1590647185.443121,46,0.9803599715232849
1590647384.558978,47,0.9545599818229675
1590647584.193732,48,0.9693599939346313
1590647780.1897106,49,0.9787799715995789
1590647977.4347053,50,0.964959979057312
1590648172.2481005,51,0.98089998960495
1590648372.6485012,52,0.9630200266838074
1590648573.680141,53,0.9825199842453003
1590648775.4760556,54,0.9827200174331665
1590648976.5240443,55,0.955780029296875
1590649176.7936954,56,0.9610599875450134
1590649378.6266365,57,0.9659600257873535
1590649580.4752579,58,0.9834200143814087
1590649784.5272875,59,0.9735599756240845
1590649988.5954812,60,0.9786199927330017
1590650190.660964,61,0.9645199775695801
1590650395.6762557,62,0.96288001537323
1590650598.689427,63,0.9753599762916565
1590650803.1746466,64,0.9716600179672241
1590651005.2707574,65,0.9782800078392029
1590651206.3723605,66,0.9900599718093872
1590651410.7312248,67,0.9825599789619446
1590651614.790326,68,0.9759600162506104
1590651818.498698,69,0.9797800183296204
1590652021.73438,70,0.9670199751853943
1590652223.1641896,71,0.974399983882904
1590652425.4691644,72,0.9904999732971191
1590652629.7550766,73,0.9898200035095215
1590652835.099209,74,0.9921600222587585
1590653036.6799831,75,0.9690999984741211
1590653236.75493,76,0.9817799925804138
1590653434.273651,77,0.9854400157928467
1590653633.4951532,78,0.9830600023269653
1590653832.1802452,79,0.9931600093841553
1590654031.0606887,80,0.9957000017166138
1590654228.958714,81,0.9939799904823303
1590654427.7525568,82,0.977940022945404
1590654625.4254193,83,0.9702000021934509
1590654824.0837245,84,0.9863600134849548
1590655022.1988506,85,0.9856200218200684
1590655220.3071516,86,0.9911199808120728
1590655419.2165189,87,0.9983999729156494
1590655618.4715889,88,0.9965199828147888
1590655817.172277,89,0.987280011177063
1590656015.4885287,90,0.9350399971008301
1590656214.3340483,91,0.9868999719619751
1590656414.1629965,92,0.994700014591217
1590656611.943961,93,0.9962800145149231
1590656809.2609694,94,0.9945200085639954
1590657006.077704,95,0.9962400197982788
1590657203.911488,96,0.9953399896621704
1590657402.560313,97,0.9975399971008301
1590657600.3815594,98,0.9984800219535828
1590657798.0213168,99,0.9975600242614746
1590657995.585887,100,0.9585999846458435
